brazil,congo_forest,day,month,year,brz.veg.index
3990,990,15b,3,1999,0.399
3760,850,15a,4,1999,0.376
6770,850,15b,4,1999,0.677
3990,840,15a,5,1999,0.399
3950,900,15b,5,1999,0.395
6950,860,15a,6,1999,0.695
6370,780,15b,6,1999,0.637
6170,950,15a,7,1999,0.617
5800,780,15b,7,1999,0.58
6572,980,15a,8,1999,0.6572
8250,930,15b,8,1999,0.825
8670,910,15a,9,1999,0.867
7960,1010,15b,9,1999,0.796
8500,940,15a,10,1999,0.85
7252,840,15b,10,1999,0.7252
8250,830,15a,11,1999,0.825
8250,850,15b,11,1999,0.825
7420,720,15a,12,1999,0.742
7300,720,15b,12,1999,0.73
5880,620,15a,1,2000,0.588
7410,620,15b,1,2000,0.741
6420,670,15a,2,2000,0.642
4620,880,15b,2,2000,0.462
5250,800,15a,3,2000,0.525
4270,830,15b,3,2000,0.427
4430,830,15a,4,2000,0.443
3840,820,15b,4,2000,0.384
4590,990,15a,5,2000,0.459
7500,880,15b,5,2000,0.75
7200,880,15a,6,2000,0.72
5340,810,15b,6,2000,0.534
7790,920,15a,7,2000,0.779
6960,850,15b,7,2000,0.696
8430,940,15a,8,2000,0.843
7920,870,15b,8,2000,0.792
8560,830,15a,9,2000,0.856
8840,890,15b,9,2000,0.884
8010,880,15a,10,2000,0.801
7392,720,15b,10,2000,0.7392
7780,880,15a,11,2000,0.778
8200,890,15b,11,2000,0.82
7850,830,15a,12,2000,0.785
5682,590,15b,12,2000,0.5682
8260,620,15a,1,2001,0.826
6912,730,15b,1,2001,0.6912
7450,660,15a,2,2001,0.745
5860,730,15b,2,2001,0.586
3722,760,15a,3,2001,0.3722
3310,880,15b,3,2001,0.331
5870,940,15a,4,2001,0.587
3710,910,15b,4,2001,0.371
6330,990,15a,5,2001,0.633
5600,820,15b,5,2001,0.56
5990,810,15a,6,2001,0.599
5920,890,15b,6,2001,0.592
6710,980,15a,7,2001,0.671
7870,830,15b,7,2001,0.787
7300,1010,15a,8,2001,0.73
8500,880,15b,8,2001,0.85
7160,840,15a,9,2001,0.716
8400,900,15b,9,2001,0.84
8050,820,15a,10,2001,0.805
7600,880,15b,10,2001,0.76
7870,870,15a,11,2001,0.787
7870,840,15b,11,2001,0.787
6940,770,15a,12,2001,0.694
7350,590,15b,12,2001,0.735
7380,590,15a,1,2002,0.738
7120,690,15b,1,2002,0.712
5672,750,15a,2,2002,0.5672
5000,660,15b,2,2002,0.5
3950,730,15a,3,2002,0.395
3362,810,15b,3,2002,0.3362
3970,950,15a,4,2002,0.397
4660,840,15b,4,2002,0.466
5760,990,15a,5,2002,0.576
3692,870,15b,5,2002,0.3692
6500,990,15a,6,2002,0.65
5780,830,15b,6,2002,0.578
5320,760,15a,7,2002,0.532
7160,880,15b,7,2002,0.716
